1,0.31296
2,0.59448
3,0.81627
4,0.95606
5,0.99978
6,0.94307
7,0.7916
8,0.5606
9,0.27328
10,-0.041494
11,-0.3521
12,-0.62733
13,-0.83954
14,-0.9674
15,-0.99806
16,-0.92845
17,-0.76556
18,-0.52576
19,-0.23313
20,0.082917
21,0.39064
22,0.65911
23,0.86136
24,0.97707
25,0.99462
26,0.91224
27,0.73821
28,0.49001
29,0.19258
30,-0.1242
31,-0.4285
32,-0.68975
33,-0.8817
34,-0.98507
35,-0.98947
36,-0.89446
37,-0.70958
38,-0.45342
39,-0.1517
40,0.16526
41,0.46562
42,0.7192
43,0.90052
44,0.99136
45,0.98261
46,0.87513
47,0.67973
48,0.41604
49,0.11055
50,-0.20604
51,-0.50194
52,-0.74741
53,-0.91778
54,-0.99595
55,-0.97406
56,-0.8543
57,-0.64871
58,-0.37795
59,-0.069217
60,0.24647
